Product Name,Category,Cost Price,Unit Price,Competitor Price,Quantity Sold
4K Smart TV 55 inch,Electronics,28000,42000,41500,240
Wireless Bluetooth Speaker,Electronics,1200,2500,2400,1200
RGB Gaming Mouse,Electronics,450,1200,1100,2100
Mechanical Keyboard,Electronics,1500,3500,3400,850
Denim Jacket Classic,Apparel,1100,2400,2450,620
Leather Combat Boots,Apparel,2400,4800,4900,310
Running Shoes Air,Apparel,1800,3800,3600,980
Cotton Crewneck T-Shirt,Apparel,250,650,600,4500
Ergonomic Office Chair,Home Goods,5500,9800,9900,540
Drip Coffee Maker,Home Goods,1400,2900,2700,750
High-Speed Blender,Home Goods,2200,4500,4300,430
Essential Oil Diffuser,Home Goods,600,1500,1450,1150
Non-Slip Yoga Mat,Fitness,350,950,900,1650
Adjustable Dumbbells Set,Fitness,4500,8500,8200,290
Stainless Steel Water Bottle,Fitness,280,750,700,3200
Smart Fitness Watch,Electronics,3500,6800,6500,950
Noise-Canceling Headphones,Electronics,5000,9500,9900,600
Slim Fit Chino Pants,Apparel,650,1450,1500,1850
Wool Winter Coat,Apparel,3800,7500,7800,140
Robot Vacuum Cleaner,Home Goods,9000,16500,15900,220
Air Purifier True HEPA,Home Goods,3200,6500,6200,580
Memory Foam Pillow,Home Goods,750,1800,1750,1400
Resistance Bands Set,Fitness,180,450,420,2800
Protein Shaker Bottle,Fitness,120,300,280,3900
Camping Backpack 50L,Fitness,1500,3200,3100,450
